캠퍼스,부서,이름,전화번호
1,본부,이사장,02-2220-0001
1,본부,비서실,02-2220-0002
1,본부,비서실,02-2220-0003
1,본부,법인 감사실,02-2220-0011
1,본부,총무부장,02-2220-0013
1,본부,총무팀,02-2220-0014
1,본부,총무팀,02-2220-0015
1,본부,총무팀,02-2220-0016
1,본부,경리부장,02-2220-0019
1,본부,경리팀,02-2220-0020
1,본부,경리팀,02-2220-0021
1,본부,경리팀,02-2220-0022
1,본부,관재부장,02-2220-0028
1,본부,관재팀,02-2220-0017
1,본부,관재팀,02-2220-0018
1,본부,관재팀,02-2220-0029
1,본부,감사부장,02-2220-0023
1,본부,감사계,02-2220-0024
1,본부,감사계,02-2220-0025
1,본부,기획개발부장,02-2220-0027
1,본부,기획개발부,02-2220-2654
1,본부,법인 회의실,02-2220-0010
1,본부,총장,02-2220-0030
1,본부,비서팀장,02-2220-0033
1,본부,비서팀,02-2220-0034
1,본부,비서팀,02-2220-0035
1,본부,기획처장,02-2220-0180
1,본부,기획부처장,02-2220-0181
1,본부,기획평가팀장,02-2220-0182
1,본부,기획평가팀,02-2220-0183
1,본부,기획평가팀,02-2220-0184
1,본부,기획평가팀,02-2220-0185
1,본부,기획평가팀,02-2220-2052
1,본부,기획평가팀,02-2220-2053
1,본부,기획평가팀,02-2220-2054
1,본부,기획평가팀,02-2220-2055
1,본부,예산팀장,02-2220-0186
1,본부,예산팀,02-2220-0187
1,본부,예산팀,02-2220-0188
1,본부,경영감사실장,02-2220-2070
1,본부,경영감사팀장,02-2220-2071
1,본부,경영감사팀,02-2220-2072
1,본부,경영감사팀,02-2220-2073
1,본부,커리어개발센터,02-2220-0090
1,본부,취업률 통계 조사 및 분석,02-2220-0091
1,본부,취업프로그램 및 커리어개발,02-2220-0092
1,본부,채용정보/채용일정,02-2220-2097
1,본부,취업교과목 및 취업컨설팅/특강,02-2220-2098
1,본부,취업지원관: 취업진로상담/자소서 및 면접 클리닉/취업진로프로그램 개발 및 강의 등,02-2220-2724
1,본부,커리어개발센터 취업지원관,02-2220-2725
1,본부,리더십센터장,02-2220-2740
1,본부,리더십센터,02-2220-2743
1,본부,한양행복드림상담센터,02-2220-1973
1,본부,한양행복드림상담센터,02-2220-1974
1,본부,한양행복드림상담센터,02-2220-1459
1,본부,한양행복드림상담센터,02-2220-1498
1,본부,한양행복드림상담센터,02-2220-1499
1,본부,한양행복드림상담센터,02-2220-2450
1,본부,한양행복드림상담센터,02-2220-2990
1,본부,한양행복드림상담센터,02-2220-2991
1,본부,한양행복드림상담센터,02-2220-2992
1,본부,한양행복드림상담센터,02-2220-2993
1,본부,한양행복드림상담센터,02-2220-2994
1,본부,한양행복드림상담센터,02-2220-2995
1,본부,교학부총장,02-2220-0036
1,본부,비서실,02-2220-0037
1,본부,사회봉사단 사회혁신센터팀장,02-2220-0536
1,본부,사회혁신센터,02-2220-0537
1,본부,사회혁신센터,02-2220-0538
